年度,問題番号,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解
令和2年10月,1,"Ａが購入した甲土地が他の土地に囲まれて公道に通じない土地であった場合に関
する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。",甲土地が共有物の分割によって公道に通じない土地となっていた場合には、Ａは公道に至 るために他の分割者の所有地を、償金を支払うことなく通行することができる。,Ａは公道に至るため甲土地を囲んでいる土地を通行する権利を有するところ、Ａが自動車 を所有していても、自動車による通行権が認められることはない。,Ａが、甲土地を囲んでいる土地の一部である乙土地を公道に出るための通路にする目的で 賃借した後、甲土地をＢに売却した場合には、乙土地の賃借権は甲土地の所有権に従たるも のとして甲土地の所有権とともにＢに移転する。,Ｃが甲土地を囲む土地の所有権を時効により取得した場合には、ＡはＣが時効取得した土 地を公道に至るために通行することができなくなる。,2
令和2年10月,2,"令和７年７月１日に下記ケース①及びケース②の保証契約を締結した場合に関す
る次の１から４までの記述のうち、民法の規定によれば、正しいものはどれか。
（ケース①）個人Ａが金融機関Ｂから事業資金として1,000万円を借り入れ、ＣがＢとの間で当
該債務に係る保証契約を締結した場合
（ケース②）個人Ａが建物所有者Ｄと居住目的の建物賃貸借契約を締結し、ＥがＤとの間で当
該賃貸借契約に基づくＡの一切の債務に係る保証契約を締結した場合",ケース①の保証契約は、口頭による合意でも有効であるが、ケース②の保証契約は、書面 でしなければ効力を生じない。,ケース①の保証契約は、Ｃが個人でも法人でも極度額を定める必要はないが、ケース②の 保証契約は、Ｅが個人でも法人でも極度額を定めなければ効力を生じない。,ケース①及びケース②の保証契約がいずれも連帯保証契約である場合、ＢがＣに債務の履 行を請求したときはＣは催告の抗弁を主張することができるが、ＤがＥに債務の履行を請求 したときはＥは催告の抗弁を主張することができない。,保証人が保証契約締結の日前１箇月以内に公正証書で保証債務を履行する意思を表示して いない場合、ケース①のＣがＡの事業に関与しない個人であるときはケース①の保証契約は 効力を生じないが、ケース②の保証契約は有効である。 ― 1 ― 〈宅地建物取引士資格試験〉,3
令和2年10月,3,"次の１から４までの契約に関する記述のうち、民法の規定及び下記判決文によれ
ば、誤っているものはどれか。なお、これらの契約は令和２年４月１日以降に締結されたもの
とする。
（判決文）
法律が債務の不履行による契約の解除を認める趣意は、契約の要素をなす債務の履行がないた
めに、該契約をなした目的を達することができない場合を救済するためであり、当事者が契約
をなした主たる目的の達成に必須的でない附随的義務の履行を怠ったに過ぎないような場合に
は、特段の事情の存しない限り、相手方は当該契約を解除することができないものと解するの
が相当である。",土地の売買契約において、売主が負担した当該土地の税金相当額を買主が償還する付随的 義務が定められ、買主が売買代金を支払っただけで税金相当額を償還しなかった場合、特段 の事情がない限り、売主は当該売買契約の解除をすることができない。,債務者が債務を履行しない場合であっても、債務不履行について債務者の責めに帰すべき 事由がないときは付随的義務の不履行となり、特段の事情がない限り、債権者は契約の解除 をすることができない。,債務不履行に対して債権者が相当の期間を定めて履行を催告してその期間内に履行がなさ れない場合であっても、催告期間が経過した時における債務不履行がその契約及び取引上の 社会通念に照らして軽微であるときは、債権者は契約の解除をすることができない。,債務者が債務を履行しない場合であって、債務者がその債務の全部の履行を拒絶する意思 を明確に表示したときは、債権者は、相当の期間を定めてその履行を催告することなく、直 ちに契約の解除をすることができる。,1
令和2年10月,4,"建物の賃貸借契約が期間満了により終了した場合における次の記述のうち、民法
の規定によれば、正しいものはどれか。なお、賃貸借契約は、令和７年７月１日付けで締結さ
れ、原状回復義務について特段の合意はないものとする。",賃借人は、賃借物を受け取った後にこれに生じた損傷がある場合、通常の使用及び収益に よって生じた損耗も含めてその損傷を原状に復する義務を負う。,賃借人は、賃借物を受け取った後にこれに生じた損傷がある場合、賃借人の帰責事由の有 無にかかわらず、その損傷を原状に復する義務を負う。,賃借人から敷金の返還請求を受けた賃貸人は、賃貸物の返還を受けるまでは、これを拒む ことができる。,賃借人は、未払賃料債務がある場合、賃貸人に対し、敷金をその債務の弁済に充てるよう 請求することができる。 ― 2 ― 〈令和2年度10月〉,4
令和2年10月,5,"ＡとＢとの間で令和７年７月１日に締結された委任契約において、委任者Ａが受
任者Ｂに対して報酬を支払うこととされていた場合に関する次の記述のうち、民法の規定によ
れば、正しいものはどれか。",Ａの責めに帰すべき事由によって履行の途中で委任が終了した場合、Ｂは報酬全額をＡに 対して請求することができるが、自己の債務を免れたことによって得た利益をＡに償還しな ければならない。,Ｂは、契約の本旨に従い、自己の財産に対するのと同一の注意をもって委任事務を処理し なければならない。,Ｂの責めに帰すべき事由によって履行の途中で委任が終了した場合、ＢはＡに対して報酬 を請求することができない。,Ｂが死亡した場合、Ｂの相続人は、急迫の事情の有無にかかわらず、受任者の地位を承継 して委任事務を処理しなければならない。,3
令和2年10月,6,"ＡとＢとの間で令和７年７月１日に締結された売買契約に関する次の記述のうち、
民法の規定によれば、売買契約締結後、ＡがＢに対し、錯誤による取消しができるものはどれ
か。",Ａは、自己所有の自動車を100万円で売却するつもりであったが、重大な過失によりＢに 対し「10万円で売却する」と言ってしまい、Ｂが過失なく「Ａは本当に10万円で売るつもり だ」と信じて購入を申し込み、ＡＢ間に売買契約が成立した場合,Ａは、自己所有の時価100万円の壺を10万円程度であると思い込み、Ｂに対し「手元にお 金がないので、10万円で売却したい」と言ったところ、ＢはＡの言葉を信じ「それなら10万 円で購入する」と言って、ＡＢ間に売買契約が成立した場合,Ａは、自己所有の時価100万円の名匠の絵画を贋作だと思い込み、Ｂに対し「贋作である ので、10万円で売却する」と言ったところ、Ｂも同様に贋作だと思い込み「贋作なら10万円 で購入する」と言って、ＡＢ間に売買契約が成立した場合,"Ａは、自己所有の腕時計を100万円で外国人Ｂに売却する際、当日の正しい為替レート（ １ドル100円）を重大な過失により１ドル125円で計算して「8,000ドルで売却する」と言っ てしまい、Ａの錯誤について過失なく知らなかったＢが「8,000ドルなら買いたい」と言って、 ＡＢ間に売買契約が成立した場合 ― 3 ― 〈宅地建物取引士資格試験〉",1
令和2年10月,7,"保証に関する次の記述のうち、民法の規定及び判例によれば、誤っているものは
どれか。なお、保証契約は令和２年４月１日以降に締結されたものとする。",特定物売買における売主の保証人は、特に反対の意思表示がない限り、売主の債務不履行 により契約が解除された場合には、原状回復義務である既払代金の返還義務についても保証 する責任がある。,主たる債務の目的が保証契約の締結後に加重されたときは、保証人の負担も加重され、主 たる債務者が時効の利益を放棄すれば、その効力は連帯保証人に及ぶ。,委託を受けた保証人が主たる債務の弁済期前に債務の弁済をしたが、主たる債務者が当該 保証人からの求償に対して、当該弁済日以前に相殺の原因を有していたことを主張するとき は、保証人は、債権者に対し、その相殺によって消滅すべきであった債務の履行を請求する ことができる。,委託を受けた保証人は、履行の請求を受けた場合だけでなく、履行の請求を受けずに自発 的に債務の消滅行為をする場合であっても、あらかじめ主たる債務者に通知をしなければ、 同人に対する求償が制限されることがある。,2
令和2年10月,8,"相続（令和７年７月１日に相続の開始があったもの）に関する次の記述のうち、
民法の規定によれば、誤っているものはどれか。",相続回復の請求権は、相続人又はその法定代理人が相続権を侵害された事実を知った時か ら５年間行使しないときは、時効によって消滅する。,被相続人の子が相続開始以前に死亡したときは、その者の子がこれを代襲して相続人とな るが、さらに代襲者も死亡していたときは、代襲者の子が相続人となることはない。,被相続人に相続人となる子及びその代襲相続人がおらず、被相続人の直系尊属が相続人と なる場合には、被相続人の兄弟姉妹が相続人となることはない。,被相続人の兄弟姉妹が相続人となるべき場合であっても、相続開始以前に兄弟姉妹及びそ の子がいずれも死亡していたときは、その者の子（兄弟姉妹の孫）が相続人となることはな い。 ― 4 ― 〈令和2年度10月〉,3
令和2年10月,9,"Ａがその所有する甲建物について、Ｂとの間で、①Ａを売主、Ｂを買主とする売
買契約を締結した場合と、②Ａを贈与者、Ｂを受贈者とする負担付贈与契約を締結した場合に
関する次の記述のうち、民法の規定及び判例によれば、正しいものはどれか。なお、これらの
契約は、令和７年７月１日に締結され、担保責任に関する特約はないものとする。",①の契約において、Ｂが手付を交付し、履行期の到来後に代金支払の準備をしてＡに履行 の催告をした場合、Ａは、手付の倍額を現実に提供して契約の解除をすることができる。,②の契約が書面によらずになされた場合、Ａは、甲建物の引渡し及び所有権移転登記の両 方が終わるまでは、書面によらないことを理由に契約の解除をすることができる。,②の契約については、Ａは、その負担の限度において、売主と同じく担保責任を負う。,①の契約については、Ｂの債務不履行を理由としてＡに解除権が発生する場合があるが、 ②の契約については、Ｂの負担の不履行を理由としてＡに解除権が発生することはない。,4
令和2年10月,10,"Ａが甲土地を所有している場合の時効に関する次の記述のうち、民法の規定及
び判例によれば、誤っているものはどれか。",Ｂが甲土地を所有の意思をもって平穏かつ公然に17年間占有した後、ＣがＢを相続し甲土 地を所有の意思をもって平穏かつ公然に３年間占有した場合、Ｃは甲土地の所有権を時効取 得することができる。,Ｄが、所有者と称するＥから、Ｅが無権利者であることについて善意無過失で甲土地を買 い受け、所有の意思をもって平穏かつ公然に３年間占有した後、甲土地がＡの所有であるこ とに気付いた場合、そのままさらに７年間甲土地の占有を継続したとしても、Ｄは、甲土地 の所有権を時効取得することはできない。,Ｄが、所有者と称するＥから、Ｅが無権利者であることについて善意無過失で甲土地を買 い受け、所有の意思をもって平穏かつ公然に３年間占有した後、甲土地がＡの所有であるこ とを知っているＦに売却し、Ｆが所有の意思をもって平穏かつ公然に甲土地を７年間占有し た場合、Ｆは甲土地の所有権を時効取得することができる。,Ａが甲土地を使用しないで20年以上放置していたとしても、Ａの有する甲土地の所有権が 消滅時効にかかることはない。 ― 5 ― 〈宅地建物取引士資格試験〉,2
